query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
137.0962723,HMDB0303917,(R)-2-Phenyl-1-propanol,C9H12O,136.088815006,M+H,+,137.096091,1,128.7845
137.0962723,HMDB0059896,6-Ethyl-o-cresol,C9H12O,136.088815006,M+H,+,137.096091,1,133.093
137.0962723,HMDB0302561,"2,3,5-Trimethylphenol",C9H12O,136.088815006,M+H,+,137.096091,1,129.027
137.0962723,HMDB0032441,"Nona-2,4,6-trienal",C9H12O,136.088815006,M+H,+,137.096091,1,133.31233333333333
137.0962723,HMDB0031446,p-Isopropylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,129.57533333333333
137.0962723,HMDB0032544,"2,4,6-Trimethylphenol",C9H12O,136.088815006,M+H,+,137.096091,1,129.22866666666667
137.0962723,HMDB0038984,4-Ethyl-2-methylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,128.81766666666667
137.0962723,HMDB0038987,2-Ethyl-5-methylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,130.28466666666665
137.0962723,HMDB0032029,2-Isopropylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,129.525
137.0962723,HMDB0032149,"1-Methoxy-2,4-dimethylbenzene",C9H12O,136.088815006,M+H,+,137.096091,1,130.13833333333335
137.0962723,HMDB0032625,4-Propylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,129.47
137.0962723,HMDB0029667,"2,3,6-Trimethylphenol",C9H12O,136.088815006,M+H,+,137.096091,1,129.418
137.0962723,HMDB0039782,2-(1-Pentenyl)furan,C9H12O,136.088815006,M+H,+,137.096091,1,132.04666666666665
137.0962723,HMDB0038986,3-Ethyl-4-methylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,128.896
137.0962723,HMDB0032624,2-Propylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,129.40433333333334
137.0962723,HMDB0038988,2-Ethyl-4-methylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,129.09933333333333
137.0962723,HMDB0032621,(2-Methoxyethyl)benzene,C9H12O,136.088815006,M+H,+,137.096091,1,128.36666666666667
137.0962723,HMDB0038985,3-Ethyl-5-methylphenol,C9H12O,136.088815006,M+H,+,137.096091,1,128.96866666666668
137.0962723,HMDB0031312,Benzyl ethyl ether,C9H12O,136.088815006,M+H,+,137.096091,1,128.51466666666667
137.0962723,HMDB0033962,3-Phenyl-1-propanol,C9H12O,136.088815006,M+H,+,137.096091,1,128.65066666666667
137.0962723,HMDB0031627,1-Phenyl-1-propanol,C9H12O,136.088815006,M+H,+,137.096091,1,129.48566666666667
137.0962723,HMDB0034378,(Â±)-1-(4-Methylphenyl)ethanol,C9H12O,136.088815006,M+H,+,137.096091,1,130.5076666666667
137.0962723,HMDB0031628,2-Phenyl-1-propanol,C9H12O,136.088815006,M+H,+,137.096091,1,130.06233333333333
