query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
313.2386167,HMDB0061650,"9,10-Epoxyoctadecanoic acid",C18H34O4,314.245709575,M-H,-,313.238434,1,183.274
313.2386167,HMDB0004705,"12,13-DHOME",C18H34O4,314.245709575,M-H,-,313.238434,1,184.9555
313.2386167,HMDB0004704,"9,10-DHOME",C18H34O4,314.245709575,M-H,-,313.238434,1,190.188
313.2386167,HMDB0041220,Dibutyl decanedioate,C18H34O4,314.245709576,M-H,-,313.238434,1,180.207
313.2386167,HMDB0302107,"9,10-Epoxy-18-hydroxy-octadecanoic acid",C18H34O4,314.245709576,M-H,-,313.238434,1,180.6695
313.2386167,HMDB0000782,Octadecanedioic acid,C18H34O4,314.245709576,M-H,-,313.238434,1,177.87475
