query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
655.5513557,HMDB0299667,"DG(18:1(12Z)-2OH(9,10)/0:0/i-18:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,269.7275
655.5513557,HMDB0299666,"DG(i-18:0/0:0/18:1(12Z)-2OH(9,10))",C39H74O7,654.543454723,M+H,+,655.550731,1,270.281
655.5513557,HMDB0299665,"DG(18:1(12Z)-2OH(9,10)/i-18:0/0:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,269.4115
655.5513557,HMDB0299664,"DG(i-18:0/18:1(12Z)-2OH(9,10)/0:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,270.18
655.5513557,HMDB0295926,"DG(18:1(12Z)-2OH(9,10)/0:0/18:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,272.768
655.5513557,HMDB0295925,"DG(18:0/0:0/18:1(12Z)-2OH(9,10))",C39H74O7,654.543454723,M+H,+,655.550731,1,272.5325
655.5513557,HMDB0295924,"DG(18:1(12Z)-2OH(9,10)/18:0/0:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,272.468
655.5513557,HMDB0295923,"DG(18:0/18:1(12Z)-2OH(9,10)/0:0)",C39H74O7,654.543454723,M+H,+,655.550731,1,272.8305
