query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
143.0352684,HMDB0250639,"1,1-Cyclobutanedicarboxylic acid",C6H8O4,144.042258738,M-H,-,143.034983,2,124.084
143.0352684,HMDB0340956,hex-3-enedioic acid,C6H8O4,144.042258738,M-H,-,143.034983,2,
143.0352684,HMDB0246077,"3,6-Dimethyl-1,4-dioxane-2,5-dione",C6H8O4,144.042258738,M-H,-,143.034983,2,124.332
143.0352684,HMDB0259137,Triacetic acid,C6H8O4,144.042258738,M-H,-,143.034983,2,126.523
143.0352684,HMDB0251383,Dimethyl but-2-enedioate,C6H8O4,144.042258738,M-H,-,143.034983,2,122.214
143.0352684,HMDB0246416,4-Ethoxy-4-oxobut-2-enoic acid,C6H8O4,144.042258738,M-H,-,143.034983,2,126.6785
143.0352684,HMDB0031257,Dimethyl fumarate,C6H8O4,144.042258744,M-H,-,143.034983,2,122.665
143.0352684,HMDB0029171,"3-Hydroxyadipic acid 3,6-lactone",C6H8O4,144.042258744,M-H,-,143.034983,2,127.291
143.0352684,HMDB0013311,trans-2-Hexenedioic acid,C6H8O4,144.042258744,M-H,-,143.034983,2,127.118
143.0352684,HMDB0036232,Maleic acid homopolymer,C6H8O4,144.042258744,M-H,-,143.034983,2,128.082
143.0352684,HMDB0040207,Ethyl hydrogen fumarate,C6H8O4,144.042258744,M-H,-,143.034983,2,126.43266666666666
143.0352684,HMDB0240744,Dimethyl maleate,C6H8O4,144.042258744,M-H,-,143.034983,2,124.08866666666668
143.0352684,HMDB0002266,(E)-2-Methylglutaconic acid,C6H8O4,144.042258744,M-H,-,143.034983,2,127.049
143.0352684,HMDB0000522,3-Methylglutaconic acid,C6H8O4,144.042258744,M-H,-,143.034983,2,127.62925
143.0352684,HMDB0000393,3-Hexenedioic acid,C6H8O4,144.042258744,M-H,-,143.034983,2,126.99
