query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
121.1012549,HMDB0059877,Propylbenzene,C9H12,120.093900384,M+H,+,121.101176,1,124.84766666666668
121.1012549,HMDB0059819,o-Ethyltoluene,C9H12,120.093900384,M+H,+,121.101176,1,125.10533333333332
121.1012549,HMDB0059848,m-Ethyl_toluene,C9H12,120.093900384,M+H,+,121.101176,1,128.40833333333333
121.1012549,HMDB0041924,Mesitylene,C9H12,120.093900384,M+H,+,121.101176,1,124.01666666666668
121.1012549,HMDB0013733,"1,2,4-Trimethylbenzene",C9H12,120.093900384,M+H,+,121.101176,1,125.92633333333332
121.1012549,HMDB0059901,Hemimellitene,C9H12,120.093900384,M+H,+,121.101176,1,124.28766666666668
121.1012549,HMDB0040458,"1,2,4-Tris(methylene)cyclohexane",C9H12,120.093900384,M+H,+,121.101176,1,127.37133333333333
121.1012549,HMDB0034029,Isopropylbenzene,C9H12,120.093900384,M+H,+,121.101176,1,124.83833333333332
