query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
257.2127359,HMDB0340855,5-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,
257.2127359,HMDB0340853,9-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,
257.2127359,HMDB0340852,7-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,
257.2127359,HMDB0340851,10-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,
257.2127359,HMDB0340854,6-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,
257.2127359,HMDB0061657,3-hydroxypentadecanoic acid,C15H30O3,258.219494826,M-H,-,257.212219,2,165.394
257.2127359,HMDB0059866,Ethyl 3-hydroxytridecanoate,C15H30O3,258.219494826,M-H,-,257.212219,2,167.07833333333335
257.2127359,HMDB0031061,10-Hydroxymyristic acid methyl ester,C15H30O3,258.219494826,M-H,-,257.212219,2,164.82266666666666
