query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
353.3410798,HMDB0340945,(17Z)-tricos-17-enoic acid,C23H44O2,352.334130657,M+H,+,353.341407,1,
353.3410798,HMDB0340944,(18Z)-tricos-18-enoic acid,C23H44O2,352.334130657,M+H,+,353.341407,1,
353.3410798,HMDB0340943,(14Z)-tricos-14-enoic acid,C23H44O2,352.334130657,M+H,+,353.341407,1,
353.3410798,HMDB0340946,(9Z)-tricos-9-enoic acid,C23H44O2,352.334130657,M+H,+,353.341407,1,
353.3410798,HMDB0035564,"6,8-Tricosanedione",C23H44O2,352.334130652,M+H,+,353.341407,1,201.58
353.3410798,HMDB0035565,"4,6-Tricosanedione",C23H44O2,352.334130652,M+H,+,353.341407,1,200.9475
