query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
795.5497396,HMDB0268417,"PA(20:5(6E,8Z,11Z,14Z,17Z)-OH(5)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.4335
795.5497396,HMDB0268416,"PA(i-22:0/20:5(6E,8Z,11Z,14Z,17Z)-OH(5))",C45H79O9P,794.546171122,M+H,+,795.553447,5,282.6435
795.5497396,HMDB0268415,"PA(20:5(5Z,8Z,10E,14Z,17Z)-OH(12)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.987
795.5497396,HMDB0268414,"PA(i-22:0/20:5(5Z,8Z,10E,14Z,17Z)-OH(12))",C45H79O9P,794.546171122,M+H,+,795.553447,5,284.392
795.5497396,HMDB0268413,"PA(20:5(5Z,8Z,11Z,14Z,16E)-OH(18)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.9725
795.5497396,HMDB0268412,"PA(i-22:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18))",C45H79O9P,794.546171122,M+H,+,795.553447,5,281.8165
795.5497396,HMDB0268411,"PA(20:5(5Z,8Z,11Z,14Z,16E)-OH(18R)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.7615
795.5497396,HMDB0268410,"PA(i-22:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,281.89
795.5497396,HMDB0268399,"PA(20:4(5Z,8Z,11Z,13E)+=O(15)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,287.762
795.5497396,HMDB0268398,"PA(i-22:0/20:4(5Z,8Z,11Z,13E)+=O(15))",C45H79O9P,794.546171122,M+H,+,795.553447,5,284.3405
795.5497396,HMDB0268397,"PA(20:4(6E,8Z,11Z,14Z)+=O(5)/i-22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.1075
795.5497396,HMDB0268396,"PA(i-22:0/20:4(6E,8Z,11Z,14Z)+=O(5))",C45H79O9P,794.546171122,M+H,+,795.553447,5,286.4285
795.5497396,HMDB0265857,"PA(20:3(6,8,11)-OH(5)/22:2(13Z,16Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,287.6475
795.5497396,HMDB0265856,"PA(22:2(13Z,16Z)/20:3(6,8,11)-OH(5))",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.1925
795.5497396,HMDB0265677,"PA(20:4(5Z,7E,11Z,14Z)-OH(9)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.2265
795.5497396,HMDB0265676,"PA(22:1(13Z)/20:4(5Z,7E,11Z,14Z)-OH(9))",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.6685
795.5497396,HMDB0265675,"PA(20:4(5E,8Z,12Z,14Z)-OH(11R)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,291.2035
795.5497396,HMDB0265674,"PA(22:1(13Z)/20:4(5E,8Z,12Z,14Z)-OH(11R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,285.907
795.5497396,HMDB0265673,"PA(20:4(5Z,8Z,10E,14Z)-OH(12S)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,292.5485
795.5497396,HMDB0265672,"PA(22:1(13Z)/20:4(5Z,8Z,10E,14Z)-OH(12S))",C45H79O9P,794.546171122,M+H,+,795.553447,5,287.496
795.5497396,HMDB0265671,"PA(20:4(5Z,8Z,11Z,13E)-OH(15S)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,292.513
795.5497396,HMDB0265670,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,13E)-OH(15S))",C45H79O9P,794.546171122,M+H,+,795.553447,5,286.1415
795.5497396,HMDB0265669,"PA(20:4(5Z,8Z,11Z,14Z)-OH(16R)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,291.9605
795.5497396,HMDB0265668,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,14Z)-OH(16R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,285.207
795.5497396,HMDB0265667,"PA(20:4(5Z,8Z,11Z,14Z)-OH(17)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.4595
795.5497396,HMDB0265666,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,14Z)-OH(17))",C45H79O9P,794.546171122,M+H,+,795.553447,5,285.412
795.5497396,HMDB0265665,"PA(20:4(5Z,8Z,11Z,14Z)-OH(18R)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.5045
795.5497396,HMDB0265664,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,14Z)-OH(18R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,285.193
795.5497396,HMDB0265663,"PA(20:4(5Z,8Z,11Z,14Z)-OH(19S)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,291.6235
795.5497396,HMDB0265662,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,14Z)-OH(19S))",C45H79O9P,794.546171122,M+H,+,795.553447,5,286.409
795.5497396,HMDB0265661,"PA(20:4(6E,8Z,11Z,14Z)-OH(5S)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,291.3
795.5497396,HMDB0265660,"PA(22:1(13Z)/20:4(6E,8Z,11Z,14Z)-OH(5S))",C45H79O9P,794.546171122,M+H,+,795.553447,5,286.679
795.5497396,HMDB0265659,"PA(20:4(5Z,8Z,11Z,14Z)-OH(20)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,291.4535
795.5497396,HMDB0265658,"PA(22:1(13Z)/20:4(5Z,8Z,11Z,14Z)-OH(20))",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.2555
795.5497396,HMDB0265657,"PA(20:3(8Z,11Z,14Z)-O(5,6)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.502
795.5497396,HMDB0265656,"PA(22:1(13Z)/20:3(8Z,11Z,14Z)-O(5,6))",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.63
795.5497396,HMDB0265655,"PA(20:3(5Z,11Z,14Z)-O(8,9)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.197
795.5497396,HMDB0265654,"PA(22:1(13Z)/20:3(5Z,11Z,14Z)-O(8,9))",C45H79O9P,794.546171122,M+H,+,795.553447,5,287.718
795.5497396,HMDB0265653,"PA(20:3(5Z,8Z,14Z)-O(11S,12R)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.8335
795.5497396,HMDB0265652,"PA(22:1(13Z)/20:3(5Z,8Z,14Z)-O(11S,12R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.3615
795.5497396,HMDB0265651,"PA(20:3(5Z,8Z,11Z)-O(14R,15S)/22:1(13Z))",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.693
795.5497396,HMDB0265650,"PA(22:1(13Z)/20:3(5Z,8Z,11Z)-O(14R,15S))",C45H79O9P,794.546171122,M+H,+,795.553447,5,286.0655
795.5497396,HMDB0265617,"PA(20:5(6E,8Z,11Z,14Z,17Z)-OH(5)/22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.2585
795.5497396,HMDB0265616,"PA(22:0/20:5(6E,8Z,11Z,14Z,17Z)-OH(5))",C45H79O9P,794.546171122,M+H,+,795.553447,5,281.786
795.5497396,HMDB0265615,"PA(20:5(5Z,8Z,10E,14Z,17Z)-OH(12)/22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.468
795.5497396,HMDB0265614,"PA(22:0/20:5(5Z,8Z,10E,14Z,17Z)-OH(12))",C45H79O9P,794.546171122,M+H,+,795.553447,5,283.6825
795.5497396,HMDB0265613,"PA(20:5(5Z,8Z,11Z,14Z,16E)-OH(18)/22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,289.7725
795.5497396,HMDB0265612,"PA(22:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18))",C45H79O9P,794.546171122,M+H,+,795.553447,5,281.2135
795.5497396,HMDB0265611,"PA(20:5(5Z,8Z,11Z,14Z,16E)-OH(18R)/22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,288.8555
795.5497396,HMDB0265610,"PA(22:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",C45H79O9P,794.546171122,M+H,+,795.553447,5,280.201
795.5497396,HMDB0265599,"PA(20:4(5Z,8Z,11Z,13E)+=O(15)/22:0)",C45H79O9P,794.546171122,M+H,+,795.553447,5,290.191
795.5497396,HMDB0265598,"PA(22:0/20:4(5Z,8Z,11Z,13E)+=O(15))",C45H79O9P,794.546171122,M+H,+,795.553447,5,285.149
