query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
295.2277969,HMDB0253281,hydroxyoctadecadienoic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,171.822
295.2277969,HMDB0244510,"13-Hydroxyoctadeca-9,12-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,176.9545
295.2277969,HMDB0340920,"(8E,12Z)-10-hydroxyoctadeca-8,12-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,
295.2277969,HMDB0340919,"(11E,13E)-9-hydroxyoctadeca-11,13-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,
295.2277969,HMDB0340918,"(12Z,15Z)-10-hydroxyoctadeca-12,15-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,
295.2277969,HMDB0340917,"(11E,13Z)-10-hydroxyoctadeca-11,13-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,
295.2277969,HMDB0340916,"(9Z,12Z)-6-hydroxyoctadeca-9,12-dienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,
295.2277969,HMDB0062652,"(10E,12Z)-9-HODE",C18H32O3,296.23514489,M-H,-,295.227869,0,184.11033333333333
295.2277969,HMDB0247599,9-Hydroxylinoleic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,176.7845
295.2277969,HMDB0247613,11-(3-Pentyloxiran-2-yl)undec-9-enoic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,178.847
295.2277969,HMDB0029796,(Z)-13-Oxo-9-octadecenoic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,179.10833333333335
295.2277969,HMDB0029998,"12-Hydroxy-8,10-octadecadienoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,179.004
295.2277969,HMDB0029978,Avenoleic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,179.21400000000003
295.2277969,HMDB0004702,"12,13-EpOME",C18H32O3,296.23514489,M-H,-,295.227869,0,178.64266666666666
295.2277969,HMDB0004701,"9,10-Epoxyoctadecenoic acid",C18H32O3,296.23514489,M-H,-,295.227869,0,176.88199999999998
295.2277969,HMDB0004670,alpha-Dimorphecolic acid,C18H32O3,296.23514489,M-H,-,295.227869,0,180.9126666666667
295.2277969,HMDB0004667,13-HODE,C18H32O3,296.23514489,M-H,-,295.227869,0,181.5534
