query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
123.0918153,HMDB0341311,Diallylcyanamide,C7H10N2,122.08439833,M+H,+,123.091674,1,
123.0918153,HMDB0258900,Tetrahydroindazole,C7H10N2,122.08439833,M+H,+,123.091674,1,126.1
123.0918153,HMDB0244915,2-(2-Aminoethyl)pyridine,C7H10N2,122.08439833,M+H,+,123.091674,1,126.6385
123.0918153,HMDB0246412,4-Dimethylaminopyridine,C7H10N2,122.08439833,M+H,+,123.091674,1,124.751
123.0918153,HMDB0041570,Isopropylpyrazine,C7H10N2,122.08439833,M+H,+,123.091674,1,126.05633333333331
123.0918153,HMDB0041569,2-Ethyl-6-methylpyrazine,C7H10N2,122.08439833,M+H,+,123.091674,1,126.05333333333334
123.0918153,HMDB0041568,"2-Ethyl-5-methylpyrazine, 9CI, 8CI",C7H10N2,122.08439833,M+H,+,123.091674,1,126.16933333333331
123.0918153,HMDB0041571,Propylpyrazine,C7H10N2,122.08439833,M+H,+,123.091674,1,125.264
123.0918153,HMDB0246023,"3,4-Diaminotoluene",C7H10N2,122.08439833,M+H,+,123.091674,1,129.785
123.0918153,HMDB0249078,Benzylhydrazine,C7H10N2,122.08439833,M+H,+,123.091674,1,125.3915
123.0918153,HMDB0245386,"2,3-Diaminotoluene",C7H10N2,122.08439833,M+H,+,123.091674,1,129.6545
123.0918153,HMDB0041801,"2,6-Toluenediamine",C7H10N2,122.08439833,M+H,+,123.091674,1,127.01566666666668
123.0918153,HMDB0041799,"2,4-Toluenediamine",C7H10N2,122.08439833,M+H,+,123.091674,1,127.272
123.0918153,HMDB0041254,"2-Ethyl-3-methylpyrazine, 9CI",C7H10N2,122.08439833,M+H,+,123.091674,1,125.24833333333332
123.0918153,HMDB0031844,Trimethylpyrazine,C7H10N2,122.08439833,M+H,+,123.091674,1,127.49066666666666
