query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
473.3123837,HMDB0297050,DG(PGF1alpha/0:0/2:0),C25H44O8,472.303618377,M+H,+,473.310894,3,217.686
473.3123837,HMDB0297049,DG(2:0/0:0/PGF1alpha),C25H44O8,472.303618377,M+H,+,473.310894,3,217.0685
473.3123837,HMDB0297048,DG(PGF1alpha/2:0/0:0),C25H44O8,472.303618377,M+H,+,473.310894,3,215.2375
473.3123837,HMDB0297047,DG(2:0/PGF1alpha/0:0),C25H44O8,472.303618377,M+H,+,473.310894,3,218.507
