query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
774.6020774,HMDB0304669,Dopamine-betaxanthin,C43H86NO8P,775.609105731,M-H,-,774.60183,0,283.895
774.6020774,HMDB0304668,Deoxylactucin (8-),C43H86NO8P,775.609105731,M-H,-,774.60183,0,288.111
774.6020774,HMDB0304666,dehydrocafestol,C43H86NO8P,775.609105731,M-H,-,774.60183,0,287.6335
774.6020774,HMDB0304665,Cyanidin 3-O-xyloside,C43H86NO8P,775.609105731,M-H,-,774.60183,0,287.465
774.6020774,HMDB0304664,Cyanidin 3-O-sambubioside,C43H86NO8P,775.609105731,M-H,-,774.60183,0,286.019
774.6020774,HMDB0304663,Cyanidin 3-O-rutinoside,C43H86NO8P,775.609105731,M-H,-,774.60183,0,284.4065
774.6020774,HMDB0304662,Cyanidin 3-O-glucoside,C43H86NO8P,775.609105731,M-H,-,774.60183,0,281.336
774.6020774,HMDB0114410,PE-NMe2(22:0/14:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,282.71866666666665
774.6020774,HMDB0114184,PE-NMe2(20:0/16:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,279.833
774.6020774,HMDB0113947,PE-NMe2(16:0/20:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,281.2423333333333
774.6020774,HMDB0113890,PE-NMe2(14:0/22:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,274.095
774.6020774,HMDB0113510,PE-NMe(22:0/15:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,282.377
774.6020774,HMDB0113031,PE-NMe(15:0/22:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,279.26733333333334
774.6020774,HMDB0113876,PE-NMe2(18:0/18:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,280.8433333333333
774.6020774,HMDB0009712,PE(24:0/14:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,278.659
774.6020774,HMDB0009484,PE(22:0/16:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,279.4676666666667
774.6020774,HMDB0009222,PE(20:0/18:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,278.5013333333333
774.6020774,HMDB0008998,PE(18:0/20:0),C43H86NO8P,775.609105731,M-H,-,774.60183,0,277.44033333333334
774.6020774,HMDB0008940,PE(16:0/22:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,276.773
774.6020774,HMDB0008848,PE(14:0/24:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,278.494
774.6020774,HMDB0008264,PC(20:0/15:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,287.8255
774.6020774,HMDB0007944,PC(15:0/20:0),C43H86NO8P,775.609105245,M-H,-,774.601829,0,287.395
