query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
126.1025279,HMDB0246510,4-Methylhistamine,C6H11N3,125.095297366,M+H,+,126.102573,0,126.7755
126.1025279,HMDB0245231,2-Methylhistamine,C6H11N3,125.095297366,M+H,+,126.102573,0,128.298
126.1025279,HMDB0062574,N(tele)-methylhistaminium,C6H12N3,126.102573819,M+H,+,126.102574,0,124.8865
126.1025279,HMDB0243669,(R)-alpha-Methylhistamine,C6H11N3,125.095297366,M+H,+,126.102573,0,127.2445
126.1025279,HMDB0061685,N-Methylhistamine,C6H11N3,125.095297367,M+H,+,126.102573,0,125.91766666666666
126.1025279,HMDB0001861,3-Methylhistamine,C6H11N3,125.095297367,M+H,+,126.102573,0,125.3092857142857
126.1025279,HMDB0000898,1-Methylhistamine,C6H11N3,125.095297367,M+H,+,126.102573,0,124.350625
