query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
182.0814282,HMDB0244981,2-Amino-3-hydroxy-3-phenylpropanoic acid,C9H11NO3,181.073893218,M+H,+,182.081169,1,138.662
182.0814282,HMDB0060280,"4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline",C9H11NO3,181.073893223,M+H,+,182.081169,1,139.732
182.0814282,HMDB0250803,D-Tyrosine,C9H11NO3,181.073893223,M+H,+,182.081169,1,140.5
182.0814282,HMDB0006050,o-Tyrosine,C9H11NO3,181.073893223,M+H,+,182.081169,1,138.562
182.0814282,HMDB0003831,Beta-Tyrosine,C9H11NO3,181.073893223,M+H,+,182.081169,1,139.405
182.0814282,HMDB0002184,L-Threo-3-Phenylserine,C9H11NO3,181.073893223,M+H,+,182.081169,1,139.99333333333334
182.0814282,HMDB0001119,4-Hydroxy-4-(3-pyridyl)-butanoic acid,C9H11NO3,181.073893223,M+H,+,182.081169,1,139.80175
182.0814282,HMDB0059720,Meta-Tyrosine,C9H11NO3,181.073893223,M+H,+,182.081169,1,139.94533333333334
182.0814282,HMDB0000158,L-Tyrosine,C9H11NO3,181.073893223,M+H,+,182.081169,1,142.1241
